fecha,id_local,id_producto,cantidad,importe,Nombre Tienda,Dirección,Cod Ubicación,Tipo Local,Cód Postal,ID_franquiciado,Alquiler,Fecha Apertura,Fecha fin contrato,Royalties,m2,terraza,salida_humos,nombre,sexo,tipo_contrato,perfil,número_locales,multifranquiciado,Localidad,Provincia,Comunidad autónoma,País,Habitantes,familia,categoria,marca,formato,producto,precio_venta,coste,año,mes
"2024-01-01,T002,P020,31,62.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Mahou,Doble,Doble Mahou,2.0,0.58,2024,1"
"2024-01-01,T002,P021,21,63.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Mahou,Jarra,Jarra Mahou,3.0,0.72,2024,1"
"2024-01-01,T002,P101,6,27.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Bocadillos,,,Tortilla,4.5,1.215,2024,1"
"2024-01-01,T002,P102,2,9.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Bocadillos,,,Jamón,4.5,1.48,2024,1"
"2024-01-01,T002,P103,5,22.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Bocadillos,,,Chorizo,4.5,1.27,2024,1"
"2024-01-01,T002,P104,8,36.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Bocadillos,,,Queso,4.5,1.26,2024,1"
"2024-01-01,T002,P105,2,17.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Raciones,,,Bravas,8.5,1.98,2024,1"
"2024-01-01,T002,P106,9,76.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Raciones,,,Calamares,8.5,2.53,2024,1"
"2024-01-01,T002,P107,2,17.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Raciones,,,Torreznos,8.5,2.26,2024,1"
"2024-01-01,T002,P108,3,6.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Aperitivos,,,Aceitunas,2.0,0.62,2024,1"
"2024-01-01,T002,P109,3,6.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Aperitivos,,,Patata Chips,2.0,0.56,2024,1"
"2024-01-02,T002,P001,6,16.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Coca Cola,Botella,Botella Coca Cola,2.75,0.6875,2024,1"
"2024-01-02,T002,P002,1,2.75,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Fanta Naranja,Botella,Botella Fanta Naranja,2.75,0.6875,2024,1"
"2024-01-02,T002,P003,3,8.25,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Fanta Limón,Botella,Botella Fanta Limón,2.75,0.6875,2024,1"
"2024-01-02,T002,P004,9,24.75,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Nestea,Botella,Botella Nestea,2.75,0.6875,2024,1"
"2024-01-02,T002,P005,6,16.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Agua,Botella,Botella Agua,1.75,0.22,2024,1"
"2024-01-02,T002,P006,17,42.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Botellín,Botellín Heineken,2.5,0.725,2024,1"
"2024-01-02,T002,P007,15,52.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Tercio,Tercio Heineken,3.5,1.015,2024,1"
"2024-01-02,T002,P008,27,54.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Doble,Doble Heineken,2.0,0.62,2024,1"
"2024-01-02,T002,P009,16,48.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Jarra,Jarra Heineken,3.0,0.84,2024,1"
"2024-01-02,T002,P010,11,27.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Botellín,Botellín Estrella Galicia,2.5,0.7,2024,1"
"2024-01-02,T002,P011,19,66.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Tercio,Tercio Estrella Galicia,3.5,1.05,2024,1"
"2024-01-02,T002,P012,22,44.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Doble,Doble Estrella Galicia,2.0,0.58,2024,1"
"2024-01-02,T002,P013,15,45.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Jarra,Jarra Estrella Galicia,3.0,0.9,2024,1"
"2024-01-02,T002,P014,19,47.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Botellín,Botellín Alhambra,2.5,0.6,2024,1"
"2024-01-02,T002,P015,13,45.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Tercio,Tercio Alhambra,3.5,0.91,2024,1"
"2024-01-02,T002,P016,12,24.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Doble,Doble Alhambra,2.0,0.6,2024,1"
"2024-01-02,T002,P017,9,27.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Jarra,Jarra Alhambra,3.0,0.93,2024,1"
"2024-01-02,T002,P018,26,65.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Mahou,Botellín,Botellín Mahou,2.5,0.63,2024,1"
"2024-01-02,T002,P019,19,66.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Mahou,Tercio,Tercio Mahou,3.5,0.98,2024,1"
"2024-01-02,T002,P020,30,60.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Mahou,Doble,Doble Mahou,2.0,0.58,2024,1"
"2024-01-02,T002,P021,19,57.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Mahou,Jarra,Jarra Mahou,3.0,0.72,2024,1"
"2024-01-02,T002,P101,9,40.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Bocadillos,,,Tortilla,4.5,1.215,2024,1"
"2024-01-02,T002,P102,6,27.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Bocadillos,,,Jamón,4.5,1.48,2024,1"
"2024-01-02,T002,P103,1,4.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Bocadillos,,,Chorizo,4.5,1.27,2024,1"
"2024-01-02,T002,P104,4,18.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Bocadillos,,,Queso,4.5,1.26,2024,1"
"2024-01-02,T002,P105,3,25.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Raciones,,,Bravas,8.5,1.98,2024,1"
"2024-01-02,T002,P106,6,51.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Raciones,,,Calamares,8.5,2.53,2024,1"
"2024-01-02,T002,P107,4,34.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Raciones,,,Torreznos,8.5,2.26,2024,1"
"2024-01-02,T002,P108,4,8.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Aperitivos,,,Aceitunas,2.0,0.62,2024,1"
"2024-01-02,T002,P109,1,2.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Comida,Aperitivos,,,Patata Chips,2.0,0.56,2024,1"
"2024-01-03,T002,P001,10,27.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Coca Cola,Botella,Botella Coca Cola,2.75,0.6875,2024,1"
"2024-01-03,T002,P002,15,41.25,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Fanta Naranja,Botella,Botella Fanta Naranja,2.75,0.6875,2024,1"
"2024-01-03,T002,P003,9,24.75,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Fanta Limón,Botella,Botella Fanta Limón,2.75,0.6875,2024,1"
"2024-01-03,T002,P004,7,19.25,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Nestea,Botella,Botella Nestea,2.75,0.6875,2024,1"
"2024-01-03,T002,P005,9,24.75,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Refresco,Agua,Botella,Botella Agua,1.75,0.22,2024,1"
"2024-01-03,T002,P006,17,42.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Botellín,Botellín Heineken,2.5,0.725,2024,1"
"2024-01-03,T002,P007,24,84.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Tercio,Tercio Heineken,3.5,1.015,2024,1"
"2024-01-03,T002,P008,10,20.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Doble,Doble Heineken,2.0,0.62,2024,1"
"2024-01-03,T002,P009,9,27.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Heineken,Jarra,Jarra Heineken,3.0,0.84,2024,1"
"2024-01-03,T002,P010,14,35.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Botellín,Botellín Estrella Galicia,2.5,0.7,2024,1"
"2024-01-03,T002,P011,35,122.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Tercio,Tercio Estrella Galicia,3.5,1.05,2024,1"
"2024-01-03,T002,P012,11,22.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Doble,Doble Estrella Galicia,2.0,0.58,2024,1"
"2024-01-03,T002,P013,16,48.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Estrella Galicia,Jarra,Jarra Estrella Galicia,3.0,0.9,2024,1"
"2024-01-03,T002,P014,12,30.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Botellín,Botellín Alhambra,2.5,0.6,2024,1"
"2024-01-03,T002,P015,15,52.5,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Tercio,Tercio Alhambra,3.5,0.91,2024,1"
"2024-01-03,T002,P016,14,28.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Doble,Doble Alhambra,2.0,0.6,2024,1"
"2024-01-03,T002,P017,10,30.0,Pub Muse,""Calle Clavel, 94"",Calle,Pub,8030,F18,4831,2019-12-17,2029-12-14,0.05,164,NO,SI,Sara Posadas García,M,Gold,Inversor,9,SI,Barcelona,Barcelona,Cataluña,España,1650000,Bebida,Cerveza,Alhambra,Jarra,Jarra Alhambra,3.0,0.93,2024,1"
